Date received,Product,Sub-product,Issue,Company,State,ZIP code,Tags,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID,Processing Days
2012-06-19,Student loan,Non-federal student loan,Repaying your loan,"Navient Solutions, LLC.",CO,80214.0,,Web,6/21/12,Closed with monetary relief,Yes,No,104285,2 days 00:00:00.000000000
2012-05-08,Bank account or service,Checking account,"Account opening, closing, or management",WELLS FARGO & COMPANY,SD,57103.0,,Web,5/10/12,Closed without relief,Yes,No,73144,2 days 00:00:00.000000000
2012-05-29,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","Seterus, Inc.",GA,30080.0,,Web,6/01/12,Closed with explanation,Yes,Yes,88233,3 days 00:00:00.000000000
2012-04-27,Bank account or service,Checking account,Deposits and withdrawals,"SANTANDER BANK, NATIONAL ASSOCIATION",NY,11219.0,,Referral,4/27/12,Closed without relief,Yes,No,66969,0 days 00:00:00.000000000
2012-04-05,Credit card,,APR or interest rate,CAPITAL ONE FINANCIAL CORPORATION,KS,67010.0,,Web,4/06/12,Closed without relief,Yes,No,43679,1 days 00:00:00.000000000
2012-04-04,Bank account or service,Checking account,"Account opening, closing, or management",TD BANK US HOLDING COMPANY,NY,10309.0,,Email,4/25/12,Closed without relief,Yes,No,37224,21 days 00:00:00.000000000
2012-05-15,Mortgage,Other mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",NY,11501.0,,Referral,5/18/12,Closed without relief,Yes,No,82678,
2012-05-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",U.S. BANCORP,MN,56374.0,,Referral,5/21/12,Closed without relief,Yes,No,110,0 days 00:00:00.000000000
2012-05-21,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",NATIONSTAR MORTGAGE,IL,60176.0,,Referral,5/29/12,Closed with non-monetary relief,Yes,No,37,8 days 00:00:00.000000000
2012-05-08,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,CA,91335.0,,Web,5/10/12,Closed with explanation,Yes,No,73764,2 days 00:00:00.000000000
2012-06-23,Mortgage,Other mortgage,Settlement process and costs,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,31516.0,,Web,7/03/12,Closed with explanation,Yes,No,107038,10 days 00:00:00.000000000
2012-06-14,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",HSBC NORTH AMERICA HOLDINGS INC.,TX,77459.0,,Postal mail,6/25/12,Closed with explanation,Yes,No,101600,11 days 00:00:00.000000000
2012-05-01,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account","TIAA, FSB",FL,32250.0,,Web,5/03/12,Closed without relief,Yes,No,68750,2 days 00:00:00.000000000
2012-06-02,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",WELLS FARGO & COMPANY,VA,22079.0,,Web,6/04/12,Closed with non-monetary relief,Yes,No,91737,2 days 00:00:00.000000000
2012-06-20,Credit card,,Other fee,"CITIBANK, N.A.",FL,33708.0,,Web,6/21/12,Closed with explanation,Yes,No,104898,1 days 00:00:00.000000000
2012-02-15,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",HSBC NORTH AMERICA HOLDINGS INC.,RI,2865.0,,Web,2/15/12,Closed without relief,Yes,No,23619,0 days 00:00:00.000000000
2012-05-31,Bank account or service,Checking account,Deposits and withdrawals,JPMORGAN CHASE & CO.,MI,48390.0,,Phone,6/04/12,Closed with explanation,Yes,No,90046,4 days 00:00:00.000000000
2012-04-11,Credit card,,Identity theft / Fraud / Embezzlement,"CITIBANK, N.A.",VA,24201.0,Older American,Phone,4/13/12,Closed with relief,Yes,No,55778,2 days 00:00:00.000000000
2012-04-02,Bank account or service,Checking account,"Making/receiving payments, sending money",JPMORGAN CHASE & CO.,IL,60620.0,Servicemember,Phone,4/03/12,Closed with relief,Yes,No,43433,1 days 00:00:00.000000000
2012-05-15,Mortgage,Other mortgage,Settlement process and costs,"NEW DAY FINANCIAL, LLC",NC,27537.0,,Referral,11/06/12,Closed with non-monetary relief,Yes,Yes,78668,175 days 00:00:00.000000000
2012-05-17,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",NY,13468.0,,Referral,5/25/12,Closed with monetary relief,Yes,No,80646,8 days 00:00:00.000000000
2012-06-05,Mortgage,Other mortgage,Other,HSBC NORTH AMERICA HOLDINGS INC.,FL,33071.0,,Postal mail,6/11/12,Closed with explanation,Yes,No,95648,6 days 00:00:00.000000000
2012-06-02,Credit card,,Billing disputes,AMERICAN EXPRESS COMPANY,,,,Postal mail,6/04/12,Closed with non-monetary relief,Yes,No,91921,2 days 00:00:00.000000000
2012-06-23,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,CA,95376.0,,Web,7/03/12,Closed with explanation,Yes,No,106754,10 days 00:00:00.000000000
2012-06-21,Student loan,Non-federal student loan,Repaying your loan,SLM CORPORATION,TX,75093.0,,Web,6/21/12,Closed with explanation,Yes,No,105255,0 days 00:00:00.000000000
2012-04-17,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",JPMORGAN CHASE & CO.,CA,90265.0,,Referral,4/18/12,Closed without relief,Yes,No,60506,1 days 00:00:00.000000000
2012-04-22,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","BANK OF AMERICA, NATIONAL ASSOCIATION",TX,77868.0,,Web,4/23/12,Closed without relief,Yes,Yes,62935,1 days 00:00:00.000000000
2012-02-26,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure","BANK OF AMERICA, NATIONAL ASSOCIATION",MA,2333.0,,Web,2/29/12,Closed without relief,Yes,No,28013,
2012-02-28,Mortgage,Other mortgage,"Loan servicing, payments, escrow account","FLAGSTAR BANK, FSB",VA,23502.0,,Referral,2/28/12,Closed without relief,Yes,No,27447,0 days 00:00:00.000000000
2012-06-08,Mortgage,Other mortgage,Other,"BANK OF AMERICA, NATIONAL ASSOCIATION",FL,33071.0,,Postal mail,6/13/12,Closed with explanation,Yes,No,98879,5 days 00:00:00.000000000
